DayIdx,Date,Period,Student,Subject,Teacher,Booth,Type
0,Day1(Mon),1,Reg(ExistingStudent),Math,T02,7,Regular
0,Day1(Mon),1,Reg(ExistingStudent),Science,T04,2,Regular
0,Day1(Mon),1,Reg(ExistingStudent),English,T08,10,Regular
0,Day1(Mon),1,Reg(ExistingStudent),Science,T10,3,Regular
0,Day1(Mon),1,Reg(ExistingStudent),Social,T12,7,Regular
0,Day1(Mon),1,Reg(ExistingStudent),Social,T13,7,Regular
0,Day1(Mon),1,Reg(ExistingStudent),Japanese,T15,6,Regular
0,Day1(Mon),2,Reg(ExistingStudent),Japanese,T06,1,Regular
0,Day1(Mon),2,Reg(ExistingStudent),English,T08,8,Regular
0,Day1(Mon),3,Reg(ExistingStudent),Math,T02,2,Regular
0,Day1(Mon),3,Reg(ExistingStudent),Social,T06,3,Regular
0,Day1(Mon),3,Reg(ExistingStudent),Math,T12,8,Regular
0,Day1(Mon),4,Reg(ExistingStudent),Science,T04,4,Regular
0,Day1(Mon),4,Reg(ExistingStudent),Math,T11,5,Regular
0,Day1(Mon),4,S053,English,T15,4,Seasonal
0,Day1(Mon),5,Reg(ExistingStudent),Math,T09,3,Regular
0,Day1(Mon),5,Reg(ExistingStudent),Social,T10,9,Regular
0,Day1(Mon),5,S025,Japanese,T11,4,Seasonal
0,Day1(Mon),6,Reg(ExistingStudent),English,T01,6,Regular
0,Day1(Mon),6,Reg(ExistingStudent),Science,T04,9,Regular
0,Day1(Mon),6,Reg(ExistingStudent),Social,T09,8,Regular
0,Day1(Mon),6,Reg(ExistingStudent),Science,T10,2,Regular
0,Day1(Mon),6,S028,Math,T11,1,Seasonal
0,Day1(Mon),6,Reg(ExistingStudent),Social,T12,9,Regular
0,Day1(Mon),6,Reg(ExistingStudent),Math,T13,7,Regular
0,Day1(Mon),6,Reg(ExistingStudent),Japanese,T15,3,Regular
0,Day1(Mon),7,Reg(ExistingStudent),Japanese,T15,4,Regular
0,Day1(Mon),8,Reg(ExistingStudent),Japanese,T02,7,Regular
0,Day1(Mon),8,Reg(ExistingStudent),English,T04,5,Regular
0,Day1(Mon),8,Reg(ExistingStudent),Math,T05,2,Regular
0,Day1(Mon),8,Reg(ExistingStudent),Math,T11,4,Regular
1,Day2(Tue),1,Reg(ExistingStudent),Science,T10,6,Regular
1,Day2(Tue),1,Reg(ExistingStudent),Math,T11,2,Regular
1,Day2(Tue),2,Reg(ExistingStudent),English,T03,3,Regular
1,Day2(Tue),2,Reg(ExistingStudent),English,T04,2,Regular
1,Day2(Tue),2,Reg(ExistingStudent),Japanese,T11,1,Regular
1,Day2(Tue),3,Reg(ExistingStudent),English,T09,8,Regular
1,Day2(Tue),3,Reg(ExistingStudent),Social,T12,7,Regular
1,Day2(Tue),4,S027,English,T03,2,Seasonal
1,Day2(Tue),4,Reg(ExistingStudent),Math,T07,5,Regular
1,Day2(Tue),5,S061,Japanese,T05,9,Seasonal
1,Day2(Tue),5,Reg(ExistingStudent),English,T13,7,Regular
1,Day2(Tue),5,Reg(ExistingStudent),English,T14,6,Regular
1,Day2(Tue),6,Reg(ExistingStudent),Math,T07,1,Regular
1,Day2(Tue),6,Reg(ExistingStudent),Social,T12,5,Regular
1,Day2(Tue),7,Reg(ExistingStudent),Social,T12,4,Regular
1,Day2(Tue),7,Reg(ExistingStudent),Math,T13,9,Regular
1,Day2(Tue),8,Reg(ExistingStudent),Math,T02,7,Regular
1,Day2(Tue),8,S029,Social,T10,1,Seasonal
2,Day3(Wed),1,Reg(ExistingStudent),Science,T01,4,Regular
2,Day3(Wed),2,Reg(ExistingStudent),English,T03,3,Regular
2,Day3(Wed),2,Reg(ExistingStudent),Japanese,T05,3,Regular
2,Day3(Wed),2,Reg(ExistingStudent),Japanese,T15,7,Regular
2,Day3(Wed),3,S079,Social,T03,6,Seasonal
2,Day3(Wed),3,S056,Science,T05,3,Seasonal
2,Day3(Wed),3,S073,Science,T07,5,Seasonal
2,Day3(Wed),3,Reg(ExistingStudent),Social,T10,9,Regular
2,Day3(Wed),3,Reg(ExistingStudent),Social,T11,7,Regular
2,Day3(Wed),3,Reg(ExistingStudent),Social,T15,6,Regular
2,Day3(Wed),4,Reg(ExistingStudent),Japanese,T01,8,Regular
2,Day3(Wed),4,S074,English,T03,10,Seasonal
2,Day3(Wed),4,Reg(ExistingStudent),English,T04,5,Regular
2,Day3(Wed),4,S065,Japanese,T05,2,Seasonal
2,Day3(Wed),5,S062,Japanese,T03,1,Seasonal
2,Day3(Wed),5,S072,Japanese,T05,5,Seasonal
2,Day3(Wed),5,Reg(ExistingStudent),Math,T07,6,Regular
2,Day3(Wed),5,Reg(ExistingStudent),Social,T11,4,Regular
2,Day3(Wed),6,Reg(ExistingStudent),English,T04,3,Regular
2,Day3(Wed),7,Reg(ExistingStudent),English,T04,8,Regular
2,Day3(Wed),8,Reg(ExistingStudent),Science,T07,10,Regular
2,Day3(Wed),8,Reg(ExistingStudent),Math,T12,8,Regular
2,Day3(Wed),8,Reg(ExistingStudent),Math,T13,7,Regular
2,Day3(Wed),8,Reg(ExistingStudent),English,T14,6,Regular
3,Day4(Thu),1,Reg(ExistingStudent),Math,T12,6,Regular
3,Day4(Thu),1,Reg(ExistingStudent),English,T14,5,Regular
3,Day4(Thu),2,Reg(ExistingStudent),Science,T05,4,Regular
3,Day4(Thu),2,Reg(ExistingStudent),Math,T07,10,Regular
3,Day4(Thu),3,S048,Science,T01,8,Seasonal
3,Day4(Thu),3,Reg(ExistingStudent),Math,T02,1,Regular
3,Day4(Thu),3,S011,Japanese,T15,7,Seasonal
3,Day4(Thu),4,Reg(ExistingStudent),Japanese,T08,6,Regular
3,Day4(Thu),4,Reg(ExistingStudent),Math,T09,9,Regular
3,Day4(Thu),4,Reg(ExistingStudent),Social,T14,7,Regular
3,Day4(Thu),4,Reg(ExistingStudent),Japanese,T15,1,Regular
3,Day4(Thu),5,S048,Math,T05,7,Seasonal
3,Day4(Thu),5,S044,Math,T07,6,Seasonal
3,Day4(Thu),5,S033,English,T08,10,Seasonal
3,Day4(Thu),5,Reg(ExistingStudent),Math,T11,5,Regular
3,Day4(Thu),5,Reg(ExistingStudent),English,T14,8,Regular
3,Day4(Thu),5,Reg(ExistingStudent),English,T15,3,Regular
3,Day4(Thu),6,S075,Science,T04,3,Seasonal
3,Day4(Thu),6,Reg(ExistingStudent),Math,T09,2,Regular
3,Day4(Thu),7,Reg(ExistingStudent),Math,T09,9,Regular
3,Day4(Thu),8,Reg(ExistingStudent),English,T04,2,Regular
3,Day4(Thu),8,Reg(ExistingStudent),Science,T05,8,Regular
3,Day4(Thu),8,S045,Social,T12,2,Seasonal
3,Day4(Thu),8,S077,Math,T13,3,Seasonal
3,Day4(Thu),8,Reg(ExistingStudent),Social,T15,1,Regular
4,Day5(Fri),1,Reg(ExistingStudent),English,T01,4,Regular
4,Day5(Fri),1,Reg(ExistingStudent),Social,T03,3,Regular
4,Day5(Fri),1,Reg(ExistingStudent),Math,T07,6,Regular
4,Day5(Fri),1,Reg(ExistingStudent),Social,T10,10,Regular
4,Day5(Fri),2,Reg(ExistingStudent),Social,T06,2,Regular
4,Day5(Fri),2,Reg(ExistingStudent),Social,T14,4,Regular
4,Day5(Fri),2,Reg(ExistingStudent),Social,T15,6,Regular
4,Day5(Fri),3,Reg(ExistingStudent),Science,T01,2,Regular
4,Day5(Fri),3,Reg(ExistingStudent),Japanese,T02,10,Regular
4,Day5(Fri),3,Reg(ExistingStudent),Japanese,T03,8,Regular
4,Day5(Fri),3,Reg(ExistingStudent),Social,T13,8,Regular
4,Day5(Fri),3,Reg(ExistingStudent),Social,T15,2,Regular
4,Day5(Fri),4,Reg(ExistingStudent),Japanese,T06,1,Regular
4,Day5(Fri),4,Reg(ExistingStudent),Japanese,T08,7,Regular
4,Day5(Fri),4,S043,English,T15,9,Seasonal
4,Day5(Fri),5,S021,Social,T02,6,Seasonal
4,Day5(Fri),5,S080,Japanese,T03,3,Seasonal
4,Day5(Fri),5,Reg(ExistingStudent),Japanese,T06,6,Regular
4,Day5(Fri),5,S035,Science,T10,10,Seasonal
4,Day5(Fri),6,Reg(ExistingStudent),Science,T01,1,Regular
4,Day5(Fri),6,Reg(ExistingStudent),Social,T09,8,Regular
4,Day5(Fri),6,Reg(ExistingStudent),English,T13,3,Regular
4,Day5(Fri),6,Reg(ExistingStudent),English,T14,3,Regular
4,Day5(Fri),7,Reg(ExistingStudent),Social,T03,7,Regular
4,Day5(Fri),7,Reg(ExistingStudent),Science,T05,2,Regular
4,Day5(Fri),7,Reg(ExistingStudent),Math,T07,4,Regular
