DayIdx,Date,Period,Student,Subject,Teacher,Booth,Type
0,Day1(Mon),1,Reg(ExistingStudent),Social,T01,8,Regular
0,Day1(Mon),1,Reg(ExistingStudent),Math,T08,5,Regular
0,Day1(Mon),1,Reg(ExistingStudent),English,T15,9,Regular
0,Day1(Mon),2,Reg(ExistingStudent),Science,T01,1,Regular
0,Day1(Mon),2,Reg(ExistingStudent),English,T09,9,Regular
0,Day1(Mon),2,Reg(ExistingStudent),Math,T13,1,Regular
0,Day1(Mon),3,Reg(ExistingStudent),Japanese,T05,6,Regular
0,Day1(Mon),3,S052,English,T08,8,Seasonal
0,Day1(Mon),3,S035,Science,T11,3,Seasonal
0,Day1(Mon),3,Reg(ExistingStudent),English,T12,6,Regular
0,Day1(Mon),4,S029,Japanese,T08,5,Seasonal
0,Day1(Mon),4,S078,Science,T11,9,Seasonal
0,Day1(Mon),4,Reg(ExistingStudent),Math,T11,5,Regular
0,Day1(Mon),4,Reg(ExistingStudent),Science,T15,2,Regular
0,Day1(Mon),5,Reg(ExistingStudent),Japanese,T08,5,Regular
0,Day1(Mon),5,Reg(ExistingStudent),English,T09,8,Regular
0,Day1(Mon),6,Reg(ExistingStudent),English,T05,3,Regular
0,Day1(Mon),6,Reg(ExistingStudent),Math,T08,3,Regular
0,Day1(Mon),6,Reg(ExistingStudent),Science,T15,8,Regular
0,Day1(Mon),7,Reg(ExistingStudent),Science,T03,3,Regular
0,Day1(Mon),8,Reg(ExistingStudent),Math,T10,3,Regular
0,Day1(Mon),8,Reg(ExistingStudent),Japanese,T12,3,Regular
0,Day1(Mon),8,Reg(ExistingStudent),Math,T13,8,Regular
0,Day1(Mon),8,Reg(ExistingStudent),Japanese,T15,1,Regular
1,Day2(Tue),1,Reg(ExistingStudent),English,T03,6,Regular
1,Day2(Tue),1,Reg(ExistingStudent),Social,T05,2,Regular
1,Day2(Tue),1,Reg(ExistingStudent),Japanese,T07,3,Regular
1,Day2(Tue),2,Reg(ExistingStudent),Math,T11,10,Regular
1,Day2(Tue),2,Reg(ExistingStudent),English,T12,10,Regular
1,Day2(Tue),2,Reg(ExistingStudent),Science,T14,3,Regular
1,Day2(Tue),3,Reg(ExistingStudent),Japanese,T02,1,Regular
1,Day2(Tue),3,Reg(ExistingStudent),Science,T04,5,Regular
1,Day2(Tue),3,Reg(ExistingStudent),Math,T06,10,Regular
1,Day2(Tue),3,Reg(ExistingStudent),Math,T11,7,Regular
1,Day2(Tue),4,Reg(ExistingStudent),English,T05,3,Regular
1,Day2(Tue),4,Reg(ExistingStudent),Science,T11,6,Regular
1,Day2(Tue),5,Reg(ExistingStudent),Japanese,T02,3,Regular
1,Day2(Tue),5,Reg(ExistingStudent),English,T03,5,Regular
1,Day2(Tue),5,Reg(ExistingStudent),Math,T06,10,Regular
1,Day2(Tue),5,Reg(ExistingStudent),Japanese,T07,2,Regular
1,Day2(Tue),5,Reg(ExistingStudent),Math,T11,4,Regular
1,Day2(Tue),6,Reg(ExistingStudent),English,T05,6,Regular
1,Day2(Tue),6,Reg(ExistingStudent),Japanese,T07,9,Regular
1,Day2(Tue),7,Reg(ExistingStudent),English,T03,2,Regular
1,Day2(Tue),7,S063,Science,T07,1,Seasonal
1,Day2(Tue),7,S069,English,T12,4,Seasonal
1,Day2(Tue),8,Reg(ExistingStudent),English,T03,9,Regular
1,Day2(Tue),8,S007,Japanese,T07,5,Seasonal
1,Day2(Tue),8,Reg(ExistingStudent),Science,T11,5,Regular
1,Day2(Tue),8,S045,Japanese,T12,1,Seasonal
1,Day2(Tue),8,Reg(ExistingStudent),Math,T14,1,Regular
2,Day3(Wed),1,Reg(ExistingStudent),English,T03,4,Regular
2,Day3(Wed),2,Reg(ExistingStudent),Social,T01,5,Regular
2,Day3(Wed),2,Reg(ExistingStudent),Japanese,T05,9,Regular
2,Day3(Wed),2,Reg(ExistingStudent),Math,T08,10,Regular
2,Day3(Wed),2,Reg(ExistingStudent),Math,T13,6,Regular
2,Day3(Wed),2,Reg(ExistingStudent),Japanese,T14,6,Regular
2,Day3(Wed),3,S048,Social,T01,6,Seasonal
2,Day3(Wed),3,S046,Math,T04,4,Seasonal
2,Day3(Wed),3,S076,Math,T06,9,Seasonal
2,Day3(Wed),3,Reg(ExistingStudent),Social,T06,8,Regular
2,Day3(Wed),3,Reg(ExistingStudent),Science,T11,5,Regular
2,Day3(Wed),3,Reg(ExistingStudent),Japanese,T12,7,Regular
2,Day3(Wed),4,S032,Japanese,T01,8,Seasonal
2,Day3(Wed),4,S028,Science,T04,1,Seasonal
2,Day3(Wed),4,S012,English,T05,7,Seasonal
2,Day3(Wed),4,S040,Math,T06,5,Seasonal
2,Day3(Wed),4,Reg(ExistingStudent),Math,T06,9,Regular
2,Day3(Wed),4,Reg(ExistingStudent),Math,T11,7,Regular
2,Day3(Wed),4,Reg(ExistingStudent),Japanese,T14,10,Regular
2,Day3(Wed),5,S044,Japanese,T01,4,Seasonal
2,Day3(Wed),5,Reg(ExistingStudent),English,T03,5,Regular
2,Day3(Wed),5,S006,English,T05,8,Seasonal
2,Day3(Wed),5,S043,English,T06,9,Seasonal
2,Day3(Wed),5,Reg(ExistingStudent),English,T12,7,Regular
2,Day3(Wed),6,Reg(ExistingStudent),Social,T10,5,Regular
2,Day3(Wed),6,Reg(ExistingStudent),Science,T14,3,Regular
2,Day3(Wed),7,Reg(ExistingStudent),Science,T04,9,Regular
2,Day3(Wed),7,Reg(ExistingStudent),Japanese,T08,8,Regular
2,Day3(Wed),7,Reg(ExistingStudent),Science,T11,1,Regular
2,Day3(Wed),7,Reg(ExistingStudent),English,T12,2,Regular
2,Day3(Wed),7,Reg(ExistingStudent),Japanese,T14,8,Regular
2,Day3(Wed),8,Reg(ExistingStudent),Social,T01,5,Regular
2,Day3(Wed),8,Reg(ExistingStudent),Science,T07,5,Regular
2,Day3(Wed),8,Reg(ExistingStudent),Math,T10,1,Regular
2,Day3(Wed),8,Reg(ExistingStudent),Science,T11,3,Regular
3,Day4(Thu),1,Reg(ExistingStudent),Japanese,T07,10,Regular
3,Day4(Thu),1,Reg(ExistingStudent),English,T13,10,Regular
3,Day4(Thu),2,Reg(ExistingStudent),Japanese,T01,1,Regular
3,Day4(Thu),2,Reg(ExistingStudent),Social,T02,4,Regular
3,Day4(Thu),2,Reg(ExistingStudent),Math,T13,5,Regular
3,Day4(Thu),2,Reg(ExistingStudent),Science,T14,4,Regular
3,Day4(Thu),3,Reg(ExistingStudent),Science,T07,1,Regular
3,Day4(Thu),3,Reg(ExistingStudent),Math,T08,9,Regular
3,Day4(Thu),3,Reg(ExistingStudent),English,T09,7,Regular
3,Day4(Thu),3,Reg(ExistingStudent),Science,T14,8,Regular
3,Day4(Thu),4,Reg(ExistingStudent),Japanese,T01,10,Regular
3,Day4(Thu),4,Reg(ExistingStudent),English,T09,4,Regular
3,Day4(Thu),5,Reg(ExistingStudent),Social,T01,9,Regular
3,Day4(Thu),5,Reg(ExistingStudent),English,T09,5,Regular
3,Day4(Thu),5,Reg(ExistingStudent),Social,T11,5,Regular
3,Day4(Thu),5,Reg(ExistingStudent),Japanese,T12,9,Regular
3,Day4(Thu),5,Reg(ExistingStudent),Math,T14,7,Regular
3,Day4(Thu),5,Reg(ExistingStudent),Science,T15,3,Regular
3,Day4(Thu),6,Reg(ExistingStudent),Science,T02,7,Regular
3,Day4(Thu),7,Reg(ExistingStudent),Science,T04,9,Regular
3,Day4(Thu),7,Reg(ExistingStudent),Social,T05,10,Regular
3,Day4(Thu),7,Reg(ExistingStudent),Math,T06,1,Regular
3,Day4(Thu),7,Reg(ExistingStudent),Japanese,T08,4,Regular
3,Day4(Thu),8,Reg(ExistingStudent),Social,T02,9,Regular
3,Day4(Thu),8,Reg(ExistingStudent),Science,T14,7,Regular
4,Day5(Fri),1,Reg(ExistingStudent),English,T13,4,Regular
4,Day5(Fri),2,Reg(ExistingStudent),English,T03,10,Regular
4,Day5(Fri),2,Reg(ExistingStudent),Japanese,T15,3,Regular
4,Day5(Fri),3,Reg(ExistingStudent),Social,T02,2,Regular
4,Day5(Fri),3,Reg(ExistingStudent),Social,T06,9,Regular
4,Day5(Fri),3,Reg(ExistingStudent),English,T09,9,Regular
4,Day5(Fri),3,Reg(ExistingStudent),Math,T14,8,Regular
4,Day5(Fri),4,Reg(ExistingStudent),English,T05,6,Regular
4,Day5(Fri),4,Reg(ExistingStudent),English,T08,9,Regular
4,Day5(Fri),5,Reg(ExistingStudent),Japanese,T01,7,Regular
4,Day5(Fri),5,Reg(ExistingStudent),Japanese,T05,7,Regular
4,Day5(Fri),5,S058,English,T06,6,Seasonal
4,Day5(Fri),5,Reg(ExistingStudent),English,T12,5,Regular
4,Day5(Fri),6,Reg(ExistingStudent),Social,T02,2,Regular
4,Day5(Fri),6,Reg(ExistingStudent),English,T03,8,Regular
4,Day5(Fri),6,Reg(ExistingStudent),Japanese,T10,6,Regular
4,Day5(Fri),6,Reg(ExistingStudent),Math,T14,4,Regular
4,Day5(Fri),6,Reg(ExistingStudent),Science,T15,2,Regular
4,Day5(Fri),7,Reg(ExistingStudent),Social,T02,8,Regular
4,Day5(Fri),7,Reg(ExistingStudent),English,T03,5,Regular
4,Day5(Fri),7,S041,Math,T06,3,Seasonal
4,Day5(Fri),7,Reg(ExistingStudent),English,T06,2,Regular
4,Day5(Fri),7,Reg(ExistingStudent),Science,T07,7,Regular
4,Day5(Fri),7,Reg(ExistingStudent),English,T12,7,Regular
4,Day5(Fri),8,Reg(ExistingStudent),Math,T10,2,Regular
5,Day6(Sat),1,Reg(ExistingStudent),Science,T01,9,Regular
5,Day6(Sat),1,Reg(ExistingStudent),English,T03,6,Regular
5,Day6(Sat),1,Reg(ExistingStudent),Math,T06,8,Regular
5,Day6(Sat),1,Reg(ExistingStudent),Social,T11,1,Regular
5,Day6(Sat),1,Reg(ExistingStudent),English,T13,5,Regular
5,Day6(Sat),2,Reg(ExistingStudent),Japanese,T01,5,Regular
5,Day6(Sat),3,Reg(ExistingStudent),Social,T01,5,Regular
5,Day6(Sat),3,Reg(ExistingStudent),Social,T06,9,Regular
5,Day6(Sat),3,Reg(ExistingStudent),Japanese,T10,2,Regular
5,Day6(Sat),3,Reg(ExistingStudent),Math,T14,5,Regular
5,Day6(Sat),3,Reg(ExistingStudent),Japanese,T15,3,Regular
5,Day6(Sat),4,Reg(ExistingStudent),Science,T11,7,Regular
5,Day6(Sat),5,Reg(ExistingStudent),Japanese,T07,2,Regular
5,Day6(Sat),5,S069,Japanese,T08,7,Seasonal
5,Day6(Sat),5,S030,Math,T13,2,Seasonal
5,Day6(Sat),5,Reg(ExistingStudent),Japanese,T15,3,Regular
5,Day6(Sat),6,S003,English,T08,10,Seasonal
5,Day6(Sat),6,S030,Math,T13,9,Seasonal
5,Day6(Sat),6,S054,Japanese,T15,1,Seasonal
5,Day6(Sat),7,S066,Science,T03,3,Seasonal
5,Day6(Sat),7,S079,Math,T08,10,Seasonal
5,Day6(Sat),7,Reg(ExistingStudent),Japanese,T08,7,Regular
5,Day6(Sat),7,S053,Math,T13,1,Seasonal
5,Day6(Sat),7,Reg(ExistingStudent),Japanese,T14,7,Regular
5,Day6(Sat),7,S047,Science,T15,7,Seasonal
5,Day6(Sat),8,Reg(ExistingStudent),Social,T01,1,Regular
5,Day6(Sat),8,S075,Science,T03,4,Seasonal
5,Day6(Sat),8,S018,Japanese,T15,2,Seasonal
6,Day7(Sun),1,Reg(ExistingStudent),Math,T14,4,Regular
6,Day7(Sun),1,Reg(ExistingStudent),Japanese,T15,4,Regular
6,Day7(Sun),2,Reg(ExistingStudent),Science,T04,7,Regular
6,Day7(Sun),2,Reg(ExistingStudent),Science,T15,6,Regular
6,Day7(Sun),3,Reg(ExistingStudent),Science,T01,2,Regular
6,Day7(Sun),4,Reg(ExistingStudent),Science,T03,10,Regular
6,Day7(Sun),4,Reg(ExistingStudent),English,T09,1,Regular
6,Day7(Sun),4,Reg(ExistingStudent),Math,T11,8,Regular
6,Day7(Sun),5,Reg(ExistingStudent),Japanese,T02,8,Regular
6,Day7(Sun),5,Reg(ExistingStudent),Science,T03,3,Regular
6,Day7(Sun),5,Reg(ExistingStudent),Social,T05,6,Regular
6,Day7(Sun),5,Reg(ExistingStudent),Japanese,T07,10,Regular
6,Day7(Sun),6,S021,Social,T02,6,Seasonal
6,Day7(Sun),6,Reg(ExistingStudent),Japanese,T07,6,Regular
6,Day7(Sun),6,S059,Math,T08,2,Seasonal
6,Day7(Sun),6,Reg(ExistingStudent),Science,T09,10,Regular
6,Day7(Sun),6,Reg(ExistingStudent),English,T12,10,Regular
6,Day7(Sun),7,Reg(ExistingStudent),Japanese,T01,10,Regular
6,Day7(Sun),7,S021,Social,T02,3,Seasonal
6,Day7(Sun),7,Reg(ExistingStudent),Japanese,T07,3,Regular
6,Day7(Sun),7,S029,Japanese,T08,10,Seasonal
6,Day7(Sun),8,Reg(ExistingStudent),English,T09,10,Regular
6,Day7(Sun),8,Reg(ExistingStudent),Social,T11,2,Regular
7,Day8(Mon),1,Reg(ExistingStudent),English,T13,3,Regular
7,Day8(Mon),2,Reg(ExistingStudent),English,T03,1,Regular
7,Day8(Mon),2,Reg(ExistingStudent),English,T15,6,Regular
7,Day8(Mon),3,S051,Japanese,T02,4,Seasonal
7,Day8(Mon),3,Reg(ExistingStudent),English,T06,5,Regular
7,Day8(Mon),3,Reg(ExistingStudent),Science,T15,4,Regular
7,Day8(Mon),4,S019,Social,T02,6,Seasonal
7,Day8(Mon),4,Reg(ExistingStudent),Social,T06,2,Regular
7,Day8(Mon),5,Reg(ExistingStudent),Japanese,T01,4,Regular
7,Day8(Mon),5,Reg(ExistingStudent),English,T03,3,Regular
7,Day8(Mon),5,Reg(ExistingStudent),Science,T04,6,Regular
7,Day8(Mon),6,Reg(ExistingStudent),Japanese,T01,6,Regular
7,Day8(Mon),6,Reg(ExistingStudent),Math,T08,8,Regular
7,Day8(Mon),6,Reg(ExistingStudent),English,T15,4,Regular
7,Day8(Mon),7,Reg(ExistingStudent),Social,T05,4,Regular
7,Day8(Mon),7,S043,English,T06,3,Seasonal
7,Day8(Mon),7,S065,English,T09,8,Seasonal
7,Day8(Mon),7,S014,Social,T11,10,Seasonal
7,Day8(Mon),7,Reg(ExistingStudent),English,T12,7,Regular
7,Day8(Mon),7,Reg(ExistingStudent),English,T13,2,Regular
7,Day8(Mon),7,Reg(ExistingStudent),Japanese,T15,9,Regular
7,Day8(Mon),8,Reg(ExistingStudent),Japanese,T01,10,Regular
7,Day8(Mon),8,Reg(ExistingStudent),Science,T04,3,Regular
